SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Barranco Leon-5;37.72361111;-2.452222222;1.4;1.4;46-50;NA;;;Betic Cordillera;Spain;Elephas maghrebiensis:Elephas moghrebiensis;"Ros-Montoya, S.; Bartolini-Lucenti, S.; Espigares, M. P.; Palmqvist, P.; Martinez-Navarro; B. (2021): First review of Lyncodontini material (Mustelidae, Carnivora, Mammalia) from the lower Pleistocene archaeo-paleontological sites of Orce (Southeastern Spain). In: Rivista Italiana di Paleontologia e Stratigrafia (127), S. 33–47.";;;;;
Mammuthus meridionalis;Fonelas P-1;37.416668;-3.166667;1.806;1.806;65;W;Gelasian MNQ18;;;Spain;;"Arribas, A.; Riquelme, J. A.; Palmqvist, P.; Garrido, G.; Hernández, R.; Laplana, C. et al. (2001): Un nuevo yacimiento de grandes mamíferos villafranquienses en la Cuenca de Guadix-Baza (Granada): Fonelas P-1, primer registro de una fauna próxima al límite Plio-Pleistoceno en la Península Ibérica. In: Boletín Geológico y Minero (112), S. 3–34.     Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Fuente Nueva 3;37.716667;-2.466667;1.3;1.3;42-44;NA;Pleistocene;;;Spain;;"Espigares, M. P.; Martínez-Navarro, B.; Palmqvist, P.; Ros-Montoya, S.; Toro, I.; Agustí, J.; Sala, R. (2013): Homo vs. Pachycrocuta: Earliest evidence of competition for an elephant carcass between scavengers at Fuente Nueva-3 (Orce, Spain). In: Quaternary International (295), S. 113–125.";;;;;
Mammuthus meridionalis;HuÃ©lago;37.417;-3.25;3.55;2.5;MG10-103;NA;;;Betic Cordillera;Spain;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Huéscar 1, Baza basin, Granada;37.83318;-2.52088;1;0.9;29-27;NA;;;;Spain;;"Ros-Montoya, S.; Palombo, M. R.; Patrocinio Espigares, M.; Palmqvist, P.; Martínez-Navarro, B. (2018): The mammoth from the archaeo-paleontological site of Huéscar-1: A tile in the puzzling question of the replacement of Mammuthus meridionalis by Mammuthus trogontherii in the late Early Pleistocene of Europe. In: Quaternary Science Reviews (197), S. 336–351.";;;;;
Mammuthus meridionalis;Incarcal I, Crespià, Catalonia;41.98444444;2.821111111;1.1;1.05;33-30;NA;;;Valencia Trough;Spain;Elephas maghrebiensis:Elephas moghrebiensis;"Ros-Montoya, S.; Madurell-Malapeira, J.; Martínez-Navarro, B.; Espigares, M. P.; Palmqvist, P. (2012): Late Villafranchian Mammuthus meridionalis (Nesti, 1825) from the Iberian Peninsula: Dentognathic remains from Incarcal-I (Crespià, Girona) and Venta Micena (Orce, Granada). In: Quaternary International (276), S. 17–22.";;;;;
Mammuthus meridionalis;La Puebla de Valverde;40.2;-0.9;2.5;1.9;100-72;NA;;;Iberian Range;Spain;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Láchar, Granada;37.200001;-3.833333;0.9;0.8;23-22;NA;Vallonet to earliest Cromerian;;;Spain;;Aguirre, E.: The Pliocene-Pleistocene transition in the Iberian Peninsula. In: The Pleistocene Bounadary and the Beginning of the Quaternary, Bd. 41, S. 169.;;;;;
Mammuthus meridionalis;Llobregat River area, Barcelona;41.3475;2.043056;2.588;0.781;103-19;NA;Early Pleistocene;;;Spain;;H. D. Kahlke. 1975. The Macrofaunas of continental Europe during the Middle Pleistocene: stratigraphic sequence and problems of intercorrelation. in K.W. Butzer and G.L. Isaac, eds., After the Australopithecines. Mouton, The Hague.;;;;;
Mammuthus meridionalis;Venta Micena, Orce, Grenada;37.716667;-2.466667;1.6;1.5;56-53;NA;Early Pleistocene;;;Spain;;"Espigares, M. P.; Martínez-Navarro, B.; Palmqvist, P.; Ros-Montoya, S.; Toro, I.; Agustí, J.; Sala, R. (2013): Homo vs. Pachycrocuta: Earliest evidence of competition for an elephant carcass between scavengers at Fuente Nueva-3 (Orce, Spain). In: Quaternary International (295), S. 113–125.    Ros-Montoya, S.; Madurell-Malapeira, J.; Martínez-Navarro, B.; Espigares, M. P.; Palmqvist, P. (2012): Late Villafranchian Mammuthus meridionalis (Nesti, 1825) from the Iberian Peninsula: Dentognathic remains from Incarcal-I (Crespià, Girona) and Venta Micena (Orce, Granada). In: Quaternary International (276), S. 17–22.";;;;;
Mammuthus meridionalis;Venta Micena-2;37.73638889;-2.403611111;1.9;0.5;103-13;NA;;;Betic Cordillera;Spain;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Venta Micena-4;37.733;-2.405;1.945;0.781;74-19;NA;;;Betic Cordillera;Spain;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Koktyurlyuk;40.3;70;3.497666667;2.58;MG7-103;NA;;;Fergana;Tajikistan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Kuruksaj;38.4;69.7;3;2.45;G20-97;NA;;;Afghan - Tajik;Tajikistan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Oksukon;40.517;70.4;2.45;1.9;96-75;NA;;;Fergana;Tajikistan;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Denizli Basin, Southwest Anatolia;37.70147;29.160259;1.3;1.2;41-39;NA;;;;Turkey;;"Boulbes, N.; Mayda, S.; Titov, V. V.; Alcicek, M. C. (2014): The Late Villafranchian large mammals from the Denizli Basin travertines (Southwest Anatolia, Turkey). In: Anthropologie (118), S. 44–73.";;;;;
Mammuthus meridionalis;Hasanpasa;37.256;29.912;3.55;1.9;MG10-72;NA;;;Korkuteli-Kas;Turkey;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Kocabas;37.8675;29.33805556;1.778;1.044;63-23;NA;;;\N;Turkey;Archidiskodon meridionalis;;;;;;
Mammuthus meridionalis;YukarisÃ¶gutÃ¶nu;39.827;30.429;1.9;0.0117;103-1;NA;;;\N;Turkey;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Berdjansk;46.8;36.8;3.497666667;2.58;103-64;NA;;;Indolo-Kuban;Ukraine;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Ljapino;47.2;37.2;3.497666667;2.58;103-64;NA;;;Indolo-Kuban;Ukraine;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Marganets;47.2;34.3;0.621;0.424;16-12;K?;;;Karkinitsk;Ukraine;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Nogajsk (Primorsk);46.86;36.7;1.588888889;1.433333333;63-23;NA;;;Indolo-Kuban;Ukraine;\N;;;;;;
Mammuthus meridionalis;Zhdanov;47.2;37.2;3.497666667;2.58;103-64;NA;;;Indolo-Kuban;Ukraine;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Zhevakhova Gora;46.583;30.767;3.497666667;2.58;103-64;NA;;;Karkinitsk;Ukraine;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Southern Great Basin SB36C;35.667222;-105.964444;1.8;0.9;64-28;NA;;;Rio Grande;United States of America;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Southern Great Basin SB37E;35.667222;-105.964444;1.8;0.9;64-28;NA;;;Rio Grande;United States of America;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Tijeras Arroyo;35.099998;-106.800003;1.8;0.3;64-11;NA;Irvingtonian;;;United States of America;;S. G. Lucas, T. E. Williamson, and J. Sobus. 1993. Plio-Pleistocene stratigraphy, paleoecology, and mammalian biochronology, Tijeras Arroyo, Albuquerque area, New Mexico. New Mexico Geology 15(1):1-8;;;;;
Mammuthus meridionalis;Kairakkum;38.317;67.3;2.5;1.9;100-72;NA;;;Afghan - Tajik;Uzbekistan;Archidiskodon meridionalis;;;;;;
Mammuthus meridionalis;Aalen Goldshöfe bei Aalen;48.900002;10.116667;1.8;1.6;65-59;NA;Early Calabrian;;;;;W. von Koenigswald and W.-D. Heinrich. 1999. Mittelpleistozane Saugetierfaunen aus Mitteleuropa - der Versuch einer biostratigraphischen Zuordnung. Kaupia 9:53-112;;;;;
Mammuthus meridionalis;Antimachia - Kos Island;36.810833;27.091389;3.2;3.6;Gi2-K6;NA;Early Pleistocene;;;;;G. Koufos. 2006. The Neogene mammal localities of Greece: Faunas, chronology and biostratigraphy. Hellenic Journal of Geosciences 41:183-214;;;;;
Mammuthus meridionalis;Aydyrlya;52.159721;59.726944;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Bachatsk Quarry;54;86;1.07;0.99;31-28;NA;Early Pleistocene;;;;;M. V. Sotnikova and I. V. Foronova. 2014. First Asian record of Panthera (Leo) fossilis (Mammalia, Carnivora, Felidae) in the Early Pleistocene of Western Siberia, Russia. Integrative Zoology 9(4):517-530;;;;;
Mammuthus meridionalis;Borrego Badlands;33.246435;-116.226747;1.1;1.1;35-33;NA;;;;;;"McDaniel, G. E.; Jefferson, G. T. (2003): Mammuthus meridionalis (Proboscidea: Elephantidae) from the Borrego Badlands of Anza-Borrego Desert State Park ®, California: phylogenetic and biochronologic implications. In: Deinsea 9 (1), S. 239–252. Online verfügbar unter https://natuurtijdschriften.nl/pub/538683.";;;;;
Mammuthus meridionalis;Boz-Dag;40.382778;49.607498;2.588;1.806;103-64;NA;Gelasian;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Budapest-Kobanya;47;19;3.2;2.588;103-64;NA;Villanyian;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Cardamena;36.785;27.139723;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. Airaghi. 1928. Mammiferi pliocenici dellâ€™isola di Coo (Dodecaneso). Atti della SocietÃ  Italiana di Scienze Naturali e del Museo Civico di Storia Naturale in Milano 67(2):125-135;;Calabrian;Calabrian, Middle Pleistocene;Calabrian, Middle Pleistocene;Pajak, iii et al.
Mammuthus meridionalis;Cevoli;43.596943;10.603611;2.588;0.0117;103-1;NA;Pleistocene;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Ceyssaguet, Lavoûte-sur-Loire, Haute-Loire;45.11239;3.88093;1.2;1.2;37-39;NA;;;;;;"Argant, J.; Bonifay, M.-F. (2011): Les coprolithes de hyène (Pachycrocuta brevirostris) de la couche 2 du site villafranchien de Ceyssaguet (Lavoûte-sur-Loire, Haute-Loire, France): analyse pollinique et indications paléoenvironnementales. In: Quaternaire (22), S. 3–11.";;;;;
Mammuthus meridionalis;Chianni;43.403332;10.7925;5.333;2.588;MG1-103;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Chilhac 2;45.133331;3.45;2.2;2.1;85-83;NA;MNQ 17;;;;;"Boivin, P.; Barbet, P.; Boef, O.; Devouard, B.; Besson, J.-C.; Hénot, J.-M. et al. (2010): Geological setting of the lower Pleistocene fossil deposits of Chilac (Haute-Loire, France). In: Quaternary International (223), S. 107–115.";;;;;
Mammuthus meridionalis;Cueva Victoria;37.616669;-0.866667;0.814;0.75;20-18;NA;Pleistocene;;;;;E. Carbonell, J. Estevez, and S. Moya-Sola, J. Pons-Moya, J. Agusti, J. F. de Villalta. 1981. Cueva Victoria (Murcia, Espana): Lugar de ocupacion humana mas antiguo de la Peninsula Iberica. Endins, Ciutat de Mallorca 8:47-57;;;;;
Mammuthus meridionalis;Dealul Viilor, Tetoiu 3 upper faunal horizon;44.75;23.916668;2.588;0.0117;103-1;NA;Pleistocene;;;;;C. Radulesco and P. Samson. 1990. The Plio-Pleistocene mammalian succession of the Oltet Valley, Dacic Basin, Romania. Quatarpalaontologie 8:225-232;;;;;
Mammuthus meridionalis;Dove Holes, Derbyshire;53.298332;-1.891389;0.781;0.126;19-5e;NA;Middle Pleistocene;;;;;H. E. P. Spencer and R. V. Melville. 1974. The Pleistocene mammalian fauna of Dove Holes, Derbyshire. Bulletin of the Geological Society of Great Britain 48:43-53;;;;;
Mammuthus meridionalis;Ercsi;47.25;18.9;3.2;2.588;103-64;NA;Villanyian;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Erpfinger Höhle;48.36907;9.21519;1.7;1.7;63;W;Late Middle Villafranchian;Early Late Villafranchian;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.             Abel, T.; Harlacher, C.; Ufrecht, W. (2003): zur plio-pleistozänene Entwicklung der Bären- und Karlshähle bei Erpfingen (Schwäbische Alb) unter Berücksichtigung der Sinterchronologie. In: Laichinger Höhlenfreund (2), S. 39–106.";;;;;
Mammuthus meridionalis;Eskisehir;39.776669;30.520555;1;0.781;28-19;NA;Pleistocene;;;;;"Ocako?lu, F.; Akkiraz, M. S. (2019): A Lower Pleistocene to Holocene terrestrial record from the Eski?ehir Graben (Central Anatolia): Paleoclimatic and morphotectonic implications. In: Quaternary International (510), S. 88–99.";;;;;
Mammuthus meridionalis;Fauglia;43.569168;10.508611;2.588;0.0117;103-1;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Felixstow;51.963333;1.351389;0.8;0.5;21-15;NA;Forest Bed, fluvio-marine deposits;;;;;Adams, A. L. (1881): Monograph on the british fossil elephants. London.;;;;;
Mammuthus meridionalis;Fintina lui Mitilan (lower faunal level), Tetoiu 2 middle faunal horizon;44.650002;23.933332;1.8;1.78;64;K;Early Pleistocene;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Fintina lui Mitilan (upper faunal level), Tetoiu 2 middle faunal horizon;44.650002;23.933332;1.8;1.78;64;K;Early Pleistocene;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Fratesti 3 (Fratesti s.s.);44.099998;26.333332;0.781;0.126;19-5e;NA;Middle Pleistocene;;;;;M. U. Feru, C. Radulescu, and P. Samson. 1983. Succession des Mammiferes Plio-Pleistocenes dans le Bassin Dacique (Roumanie). Ann. Inst. Geol. Geophys. 59:161-167;;;;;
Mammuthus meridionalis;Gialtra;38.870277;22.975834;2.588;0.781;103-19;NA;Early Pleistocene;;;;;P. Psarianos and E. Thenius. 1954. Ãœber Elephas (Archidiskodon) meridionalis (Elephant., Mammal.) von Euboea (Griechenland). Praktika Akadimias Athinon (Proceedings of the Academy of Athens) 28:413-424;;;;;
Mammuthus meridionalis;Horstead;52.729168;1.346389;0.8;0.5;21-15;NA;Forest Bed, fluvio-marine deposits;;;;;Adams, A. L. (1881): Monograph on the british fossil elephants. London.;;;;;
Mammuthus meridionalis;Ioannina;39.678612;20.841667;2.588;0.781;103-19;NA;Early Pleistocene;;;;;J. K. Melentis. 1960. Ein Beitrag zur Kenntnis der Verbreitung von Elephas (Archidiskodon) meridionalis archaicus DepÃ©ret und Mayet, 1923. Annales Geologiques des Pays Helleniques 11:266-284;;;;;
Mammuthus meridionalis;Izvoru, Layer 1;44.416668;24.183332;2.588;0.781;103-19;NA;Early Pleistocene;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Jockgrim, Pfalz;49.166668;8.283333;0.6;0.5;16-14;NA;Middle Middle Pleistocene;;;;;W. von Koenigswald and W.-D. Heinrich. 1999. Mittelpleistozane Saugetierfaunen aus Mitteleuropa - der Versuch einer biostratigraphischen Zuordnung. Kaupia 9:53-112;;;;;
Mammuthus meridionalis;Kairakkum C2 Formation;41;69;5.333;2.588;103-64;NA;Pliocene;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Kalamotó 1;40.530277;23.368055;1.2;1;36-31;NA;Early Pleistocene;;;;;E. Tsoukala and K. Chatzopoulou. 2005. A New Early Pleistocene (Latest Villafranchian) Site with Mammals in KalamotÃ³ (Mygdonia Basin, Macedonia, Greece) â€“ Preliminary Report. Mitt. Komm. QuartÃ¤rforsch. Ã–sterr. Akad. Wiss 14:213-233;;;;;
Mammuthus meridionalis;Kalamotó 2;40.526943;23.371944;1.2;1;36-31;NA;Early Pleistocene;;;;;E. Tsoukala and K. Chatzopoulou. 2005. A New Early Pleistocene (Latest Villafranchian) Site with Mammals in KalamotÃ³ (Mygdonia Basin, Macedonia, Greece) â€“ Preliminary Report. Mitt. Komm. QuartÃ¤rforsch. Ã–sterr. Akad. Wiss 14:213-233;;;;;
Mammuthus meridionalis;Kislang;46.966667;18.383333;3.2;2.588;103-64;NA;Villanyian;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Kopala 1;43.4;79;3.275;2.725;103-64;NA;;;;;;;;;;;
Mammuthus meridionalis;Kos - Kardámaena;36.78014;27.13579;3.4;1.8;MG5-69;NA;;;;;;Koufos, G. D. (2006): The Neogene mammal localities of Greece: faunas, chronology and biostratigraphy. In: Hellenic Journal of Geosciences (41), S. 183–214.;;;;;
Mammuthus meridionalis;Kosyakino, upper alluvial deposits;45.033333;41.816666;2.71;2.72;G6;NA;late Moldavian, MN15 or much younger;;;;;Vislobokova, Inesa (2005): On Pliocene faunas with Proboscideans in the territory of the former Soviet Union. In: Quaternary International 126-128, S. 93–105. DOI: 10.1016/j.quaint.2004.04.017.;;;;;
Mammuthus meridionalis;La Malouteyre, Haute-Loire;45.066666;3.85;5.333;0.0117;103-1;NA;Pliocene;Pleistocene;;;;M. F. Bonifay. 1973. Principaux gisements paleontologiques Francais du Pleistocene Moyen: Essai de classification. Le Quaternaire;;;;;
Mammuthus meridionalis;La Puebla de Valverde, excavations 1974;40.216667;-0.916667;2.588;1.806;103-64;NA;MN 17;;;;;E. Aguirre and J. Morales. 1990. Villafranchian faunal record of Spain. QuartÃ¤rpalÃ¤ontologie 8:7-11;;;;;
Mammuthus meridionalis;Lari;43.566944;10.590833;2.588;0.0117;103-1;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Le Coupet, Mazeyrat d'Allier, Haute-Loire;45.133331;3.55;1.92;1.92;73;W;MN 17;;;;;"Bordes, F.; Thibault, C. (1977): Thoughts on the initial adaptation of Hominids to European glacial climates. In: Quaternary Research (8), S. 115–127.";;;;;
Mammuthus meridionalis;Leu;44.183334;24;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. Radulescu and P.-M. Samson. 2001. Biochronology and evolution of the Early Pliocene to the Early Pleistocene mammalian faunas of Romania. Bollettino della Societa Paleontologica Italiana 40(2):285-291;;;;;
Mammuthus meridionalis;Livakos/Libakos;40.289722;21.456667;1.7;1.7;64-61;NA;Early Pleistocene;Pleistocene;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Lyapino;47.081669;37.674999;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Maasvlakte, Fauna I;51.958057;4.053056;0.9;0.7;25-19;W;Interglacial younger than Menapian and older than Interglacial III;;;;;Y. Vervoort-Kerkhoff and T. van Kolfschoten. 1988. Pleistocene and Holocene mammalian faunas from the Maasvlakete near Rotterdam (The Netherlands). Meded. Werkgr. Tert. Kwart. Geol 25(1):87-98;;;;;
Mammuthus meridionalis;Madonna della Strada, L'Aquila, Abruzzo;42.349075;13.257526;1.28;1.07;39-31;NA;older than Jaramillo, younger than MIS 40;;;;;"Agostini, S.; Palombo, M. R.; Rossi, M. A.; Di Canzio, E.; Tallini, M. (2012): Mammuthus meridionalis (Nesti, 1825) from Campo di Pile (L'Aquila, Abruzzo, Central Italy). In: Quaternary International (276-277), S. 42–52.";;;;;
Mammuthus meridionalis;Manisa-Turgutlu-A?a??çobanisa;38.564471;27.573243;2.02;1.6;;NA;MNQ19-20;;;;;"Albayrak, E.; Lister, A. (2012): Dental remains of fossil elephants from Turkey. In: Quaternary International (276), S. 198–211.";;;;;
Mammuthus meridionalis;Marti;43.655556;10.740833;5.333;2.588;103-64;NA;Pliocene;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Maryupol, Pliocene;47.121666;37.627499;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Megalopolis;37.400002;22.133333;0.45;0.0117;12-1;NA;;;;;;G. D. Koufos. 2001. The Villafranchian mammalian faunas and biochronology of Greece. Bollettino della Societa Paleontologica Italiana 40(2):217-223;;;;;
Mammuthus meridionalis;Milcovu din Vale;44.416668;24.366667;1.77;1.77;103-19;NA;Early Pleistocene;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Monte Tenda, Brecce di Soave, Verona, Northern Italy;45.416668;11.25;0.781;0.126;19-5e;NA;Middle Pleistocene;;;;;M. C. McKenna and S. K. Bell. 1997. Classification of Mammals Above the Species Level;;;;;
Mammuthus meridionalis;Montecastello;43.638058;10.688889;2.588;0.0117;103-1;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Montefoscoli;43.582779;10.754444;5.333;2.588;MG1-103;NA;Pliocene;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Mosbach 1, bei Wiesbaden;50.066666;8.266667;0.6;0.5;16-14;NA;Middle Middle Pleistocene;;;;;W. von Koenigswald and W.-D. Heinrich. 1999. Mittelpleistozane Saugetierfaunen aus Mitteleuropa - der Versuch einer biostratigraphischen Zuordnung. Kaupia 9:53-112;;;;;
Mammuthus meridionalis;Nakhichevan;39.220001;25.414167;3.6;2.588;103-64;NA;Late Pliocene;;;;;E. I. Belyaeva. 1948. Catalogue of Tertiary Fossil Sites of the Land Mammals in the U.S.S.R.;;;;;
Mammuthus meridionalis;Nea Komi;40.644444;21.599167;0.781;0.0117;19-1;NA;Middle Pleistocene;Late Pleistocene;;;;M. K. Mitzopoulos. 1967. Ãœber das Vorkommen von Archidiskodon meridionalis archaicus im Becken von Ptolemais (Griechisch-Mazedonien). Annales Geologiques des Pays Helleniques 18:463-470;;;;;
Mammuthus meridionalis;near Symboli;41.026669;24.03389;2.588;0.781;103-19;NA;Early Pleistocene;;;;;J. K. Melentis. 1966. Archidiskodon meridionalis proarchaicus n. ssp., die geologisch Ã¤ltesten Elefantenreste aus Griechenland. Annales Geologiques des Pays Helleniques 17:211-220;;;;;
Mammuthus meridionalis;Norwich Crag;52.213839;1.415774;2.01;1.98;76;K;Antian/Bramertonian temperate stage;;;;;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Peccioli;43.550835;10.7225;5.333;2.588;MG1-103;NA;;;;;;G. Bianucci and W. Landini. 2005. I paleositi a vertebrati fossili della Provinia di Pisa. Atti della SocietÃ  Toscana di Scienze Naturali - Memorie serie A 110:1-21;;;;;
Mammuthus meridionalis;Philippi;41.019169;24.286667;2.588;0.781;103-19;NA;Early Pleistocene;;;;;I. K. Koulidou. 2013. [Study of Plio-Pleistocene Proboscidea from Northern Greece]. Master thesis, Aristotle University of Thessaloniki;;;;;
Mammuthus meridionalis;Pietrafitta, Perugia;43;12.25;1.55;1.4;53-49;NA;Early Pleistocene;;;;;"Gentili, S.; Mottura, A.; Rook, L. (1998): The italian fossil primate record: recent finds and their geolocial context. In: Geobios (31), S. 675–686.";;;;;
Mammuthus meridionalis;Pirro Nord, D'Agostino Collection.;41.783333;15.45;2.588;0.781;103-19;NA;Early Pleistocene;;;;;C. De Guili, F. Masini, and D. Torre. 1990. The Latest Villfranchian faunas in Italy - the Pirro Nord local fauna (Apricena, Gargano). Quatarpalaontologie 8:29-34;;Calabrian;Calabrian, Middle Pleistocene;Calabrian, Middle Pleistocene;Lucas et al.
