SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;BASIN;COUNTRY;SP_SYNONYM;REFERENCE;;;;;
Mammuthus meridionalis;Dmanisi, Lesser Caucasus;41.329166;44.195;1.77;1.77;63;W;Early Pleistocene;;;Georgia;;L. Gabunia, A. Vekua, and D. Lordkipanidze, C. C. Swisher III, R. Ferring, A. Justus, M. Nioradze, M. Tvalchrelidze, S. C. AntÃ³n, G. Bosinski, O. JÃ¶ris, M.-A. de Lumley, Givi Majsuradze, Aleksander Mouskhelishvili. 2000. Earliest Pleistocene hominid cranial remains from Dmanisi, Republic of Georgia: taxonomy, geological setting, and age. Science 288:1019-1025;;;;;
Mammuthus meridionalis;Kotsakhuri, Middle Kura Basin;41.214802;46.09711;2.2;2;85-79;NA;MN17, Akchagylian  Apsherionian;;;Georgia;;"Bukshianidze, M.; Koiava, K. (2018): Synopsis of the terrestrial vertebrate faunas from the Middle Kura Basin (Eastern Georgia and Western Azerbaijan, South Caucasus). In: Acta Palaeontologica Polonica (63), S. 441–461.";;;;;
Mammuthus meridionalis;Tsalka;41.575;44.08333333;1.4;1.3;45;W;;;\N;Georgia;Archidiskodon meridionalis;"Kahlke, Ralf-Dietrich; García, Nuria; Kostopoulos, Dimitris S.; Lacombat, Frédéric; Lister, Adrian M.; Mazza, Paul P.A. et al. (2011): Western Palaearctic palaeoenvironmental conditions during the Early and early Middle Pleistocene inferred from large mammal communities, and implications for hominin dispersal in Europe. In: Quaternary Science Reviews 30 (11-12), S. 1368–1395. DOI: 10.1016/j.quascirev.2010.07.020.";;;;;
Mammuthus meridionalis;Untermassfeld;51.1667;11.1667;1.072;0.988;103-23;NA;;;Northwest German;Germany;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Apollonia-1, Mygdonia Basin;40.60365;23.40868;1.6;1.5;56-53;NA;;;;Greece;;"Koufos, G. D.; Syrides, G. E.; Kostopoulos, D. S.; Koliadimou, K. K. (1995): Preliminary results about the stratigraphy and the palaeoenvironment of Mygdonia Basin, Macedonia, Greece. In: Geobios (28), S. 243–249.     Konidaris, G. E.; Kostopoulos, D. S.; Koufos, G. D. (2020): Mammuthus meridionalis (Nesti, 1825) from Apollonia-1 (Mygdonia Basin, Northern Greece) and its importance within the Early Pleistocene mammoth evolution in Europe. In: Geodiversitas (42), S. 69–91.";;;;;
Mammuthus meridionalis;Gerakarou 1 (GER);40.38;23.4;1.9;1.4;73-49;NA;MNQ18;;Northern Aegean;Greece;Elephas maghrebiensis:Elephas moghrebiensis;"Kostopoulos, D. S.; Athanassiou, A. (2003): In the shadow of Bovids: Suids, Cervids and Giraffids from the Plio-Pleistocene of Greece. In: Quaternaire (2), S. 179–190.";;;;;
Mammuthus meridionalis;Kapetanios;37.983334;21.799999;1.94;0.56;73-15;NA;;;;Greece;;G. D. Koufos. 2001. The Villafranchian mammalian faunas and biochronology of Greece. Bollettino della Societa Paleontologica Italiana 40(2):217-223;;;;;
Mammuthus meridionalis;Kos;36.893;27.289;2;1.6;78-59;NA;;;Southern Aegean;Greece;Elephas maghrebiensis:Elephas moghrebiensis;Koufos, G. D. (2006): The Neogene mammal localities of Greece: faunas, chronology and biostratigraphy. In: Hellenic Journal of Geosciences (41), S. 183–214.;;;;;
Mammuthus meridionalis;Megalopolis;37.15;22.15;1.9;0.5;72-13;NA;;;Ionian Sea;Greece;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Polylakkos;40.15;21.2;2.588;1.9;103-72;NA;;;Ionian Sea;Greece;Elephas maghrebiensis:Elephas moghrebiensis;"Gkeme, A.; Koufos, G. D.; Kostopoulos, D. S.: The Early Pleistocene stenonoid horse from Libakos (Western Macedonia, Greece): Biochronological and palaoecological implications and dispersal events. In: 15th RCMNS Congress, Athens, 2017.";;;;;
Mammuthus meridionalis;Q-Profil;40.15;21.2;3.55;0.5;MG10-13;NA;;;Ionian Sea;Greece;Elephas maghrebiensis:Elephas moghrebiensis;;;;;;
Mammuthus meridionalis;Sesklon;39.3442;22.8248;2.588;2.52;103-100;NA;;;;Greece;;Koufos, G. D. (2001): The Villafranchian mammalian faunas and biochronology of Greece. In: Bolletino-Societa Paleontologica Italiana (40), S. 217–223.;;;;;
Mammuthus meridionalis;Vatera-DS (VTR-DS);39.26138889;26.27861111;2.5;1.9;100-75;NA;;;;Greece;;Koufos, G. D. (2006): The Neogene mammal localities of Greece: faunas, chronology and biostratigraphy. In: Hellenic Journal of Geosciences (41), S. 183–214.;;;;;
