SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ
Mammuthus primigenius;Bykovskaya Channel;72.25;127;0.037;0.0346;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.015312;0.015212;2;K;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.024269;0.02469;2;K;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.028332;0.028332;2;K;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.033101;0.033101;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.033499;0.033499;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.034376;0.034376;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.79;129.4;0.038456;0.038456;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;71.81;129.35;0.032749;0.032749;3;W;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bykovsky Peninsula;73;128.5;0.023138;0.023138;2;K;Late Pleistocene;;Russia;;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Bzianka;49.623052;21.931039;0.017104;0.016548;2;K;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Baca, Mateusz; ?mihorski, Micha?; Wilczy?ski, Jaros?aw (2018): Impact of climate and humans on the range dynamics of the woolly mammoth (Mammuthus primigenius ) in Europe during MIS 2. In: Quat. res. 90 (3), S. 439–456. DOI: 10.1017/qua.2018.54.";
Mammuthus primigenius;Cairo;37.003056;-89.186389;0.11;0.0115;05. Jan;NA;;;;;;
Mammuthus primigenius;Canyon Creek [AKXDB028];64.288889;-146.479167;0.057;0.029;3;W;;;;;;
Mammuthus primigenius;Cape Blossom;66.734167;-162.495;0.01427;0.01427;2;K;;;;;;
Mammuthus primigenius;Cape Sablera;73.24;101.39;0.024008;0.024008;2;K;Late Pleistocene;;Russia;Siberia;"Szpak, Paul; Gröcke, Darren R.; Debruyne, Regis; MacPhee, Ross D.E.; Guthrie, R. Dale; Froese, Duane et al. (2010): Regional differences in bone collagen ?13C and ?15N of Pleistocene mammoths: Implications for paleoecology of the mammoth steppe. In: Palaeogeography, Palaeoclimatology, Palaeoecology 286 (1-2), S. 88–96. DOI: 10.1016/j.palaeo.2009.12.009.";
Mammuthus primigenius;Cardamone Cave;40.663382;15.463949;0.023;0.016;2;K;Late Pleistocene;;Italy;;"SOMMER, R. S.; Nadachowski, A. (2006): Glacial refugia of mammals in Europe: evidence from fossil records. In: Mammal Review 36 (4), S. 251–265. DOI: 10.1111/j.1365-2907.2006.00093.x.";
Mammuthus primigenius;Casa Eulogio;40.321828;-3.547534;;;;;;;;;Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.;
Mammuthus primigenius;Castlepook Cave;52.252497;-8.56448;0.02085;0.02041;2;K;Late Pleistocene;;UK;;"Stuart, Anthony J.; Sulerzhitsky, Leopold D.; Orlova, Lyobov A.; Kuzmin, Yaroslav V.; Lister, Adrian M. (2002): The latest woolly mammoths (Mammuthus primigenius Blumenbach) in Europe and Asia: a review of the current evidence. In: Quaternary Science Reviews 21 (14-15), S. 1559–1569. DOI: 10.1016/S0277-3791(02)00026-4.";
Mammuthus primigenius;Cau de Les Goyes, Sant Julià de Ramis;42.316667;-2.916667;0.022;0.017;2;K;Late Pleistocene;;Spain;Girona;"Rodríguez?Almagro, Manuel; Sala, Nohemi; Wi?ing, Christoph; Arriolabengoa, Martin; Etxeberria, Francisco; Rios?Garaizar, Joseba; Gómez?Olivencia, Asier (2021): Ecological conditions during the Middle to Upper Palaeolithic transition (MIS 3) in Iberia: the cold?adapted faunal remains from Mainea, northern Iberian Peninsula. In: Boreas 50 (3), S. 686–708. DOI: 10.1111/bor.12501.         Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.";only archaeological context, no dating
Mammuthus primigenius;Cave 1, Lime Hills;61.435556;-155.411667;0.0448;0.01865;03. Feb;NA;;;;;;
Mammuthus primigenius;Chekurovka;71.05;127.3;0.026;0.026;2;K;Late Pleistocene;;Russia;;Kuzmin, Yaroslav V. (2010): Extinction of the woolly mammoth (Mammuthus primigenius ) and woolly rhinoceros (Coelodonta antiquitatis ) in Eurasia: Review of chronological and environmental issues. In: Boreas 39 (2), S. 247–261. DOI: 10.1111/j.1502-3885.2009.00122.x.;
Mammuthus primigenius;Cheney mammoth;47.483334;-117.566666;0.781;0.126;;NA;Middle Pleistocene;;USA;Washington;Freeman, O. W. (1926): Mammoth found in loess of Washington. In: Science (1663), S. 477. DOI: 10.1126/science.64.1663.477.;
Mammuthus primigenius;Cherepovets;59.174486;37.872247;0.0098;0.0098;1;W;Late Pleistocene;;Russia;;Kuzmin, Yaroslav V. (2010): Extinction of the woolly mammoth (Mammuthus primigenius ) and woolly rhinoceros (Coelodonta antiquitatis ) in Eurasia: Review of chronological and environmental issues. In: Boreas 39 (2), S. 247–261. DOI: 10.1111/j.1502-3885.2009.00122.x.;
Mammuthus primigenius;Chersky;68.45;161.15;0.0445;0.0429;3;W;Late Pleistocene;;Russia;;Kuzmin, Yaroslav V. (2010): Extinction of the woolly mammoth (Mammuthus primigenius ) and woolly rhinoceros (Coelodonta antiquitatis ) in Eurasia: Review of chronological and environmental issues. In: Boreas 39 (2), S. 247–261. DOI: 10.1111/j.1502-3885.2009.00122.x.;
Mammuthus primigenius;Chersky;68.45;161.15;NA;0.05;;;;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Chestermere Lake Mammoth;51.083333;-114.083333;0.025;0.021;2;K;Late Wisconsin;;Canada;Alberta;"Harington, C. R.; Shackleton, D. M. (1978): A tooth of Mammuthus primigenius from Chestermere Lake near Calgary, Alberta, and the distribution of mammoths in southwestern Canada. In: Can. J. Earth Sci. 15 (8), S. 1272–1283. DOI: 10.1139/e78-134.";
Mammuthus primigenius;Chicken Creek, Dawson;64.05278;-139.425003;2.588;0.0117;;NA;Pleistocene;;CA;Yukon;I. M. Cowan. 1941. Fossil and subfossil mammals from the Quaternary of British Columbia. Transactions of the Royal Society of Canada, Section IV Geological Sciences including Mineralogy, Third Series 33(4):39-50;
Mammuthus primigenius;Ch'ijee's Bluff;67.48;-139.92;NA;0.0454;;NA;;;Canada;Yukon;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Chittenago;43.05;-75.87;0.013116;0.013116;1;W;Late Pleistocene;;USA;New York;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1";calibr. Median
Mammuthus primigenius;Chokurcha 1;44.959488;34.13437;0.057;0.035;3;W;Onset of MIS 3;;Ukraine;;"Ramírez-Pedraza, Iván; Rivals, Florent; Uthmeier, Thorsten; Chabai, Victor (2020): Palaeoenvironmental and seasonal context of the Late Middle and Early Upper Palaeolithic occupations in Crimea: an approach using dental wear patterns in ungulates. In: Archaeol Anthropol Sci 12 (11). DOI: 10.1007/s12520-020-01217-9.";
Mammuthus primigenius;Chondon;70.28333;138;0.126;0.012;;NA;Late Pleistocene;;Russia;Yakutia;"Plotnikov, V. V.; Protopopov, A. V.; Kolesov, S. D.; Klimovskiy, A. I. (2016): Overview and preliminary analysis of the new finds of woolly mammoth (Mammuthus primigenius Blumenbach, 1799) in the Yana-Indigirka lowland, Yakutia, Russia. In: Quaternary International 406, S. 70–85. DOI: 10.1016/j.quaint.2015.04.050.";
Mammuthus primigenius;Chorzów;50.291419;18.95861;0.126;0.012;05. Jan;NA;Late Pleistocene;;Poland;;"Marciszak, Adrian; Kotowski, Adam; Przybylski, Bogus?aw; Badura, Janusz; Wi?niewski, Andrzej; Stefaniak, Krzysztof (2019): Large mammals from historical collections of open-air sites of Silesia (southern Poland) with special reference to carnivores and rhinoceros. In: Historical Biology 31 (6), S. 696–730. DOI: 10.1080/08912963.2017.1388377.";
Mammuthus primigenius;"Chukotka, ""M15""";69.689939;170.371294;0.01405;0.01394;2;K;Late Pleistocene;;Russia;;"Gilbert, M. Thomas P.; Drautz, Daniela I.; Lesk, Arthur M.; Ho, Simon Y. W.; Qi, Ji; Ratan, Aakrosh et al. (2008): Intraspecific phylogenetic analysis of Siberian woolly mammoths using complete mitochondrial genomes. In: Proceedings of the National Academy of Sciences of the United States of America 105 (24), S. 8327–8332. DOI: 10.1073/pnas.0802315105.";No site name given, no coordinates, only point on map
Mammuthus primigenius;Chukotka, Enmynveem River Valley;68.649045;170.069817;0.03375;0.03195;3;W;Late Pleistocene;;Russia;;"Rogaev, Evgeny I.; Moliaka, Yuri K.; Malyarchuk, Boris A.; Kondrashov, Fyodor A.; Derenko, Miroslava V.; Chumakov, Ilya; Grigorenko, Anastasia P. (2006): Complete mitochondrial genome and phylogeny of Pleistocene mammoth Mammuthus primigenius. In: PLoS biology 4 (3), e73. DOI: 10.1371/journal.pbio.0040073.";
Mammuthus primigenius;Chukotka, Kyttyk Peninsula;69.199;167.695833;0.04815;0.0468;3;W;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chukotka, Kyttyk Peninsula;69.199;167.695833;0.0513;0.0493;3;W;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chukotka, Nagleynenvaam River;69.004333;168.209333;0.0517;0.0497;3;W;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chukotka, Nagleynenvaam River;69.005667;168.242667;0.0283;0.02352;2;K;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chukotka, Ngagleyngyveem River;69;168.330167;0.0316;0.03129;3;W;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chukotka, Ngagleyngyveem River;69.983333;168.4135;0.0506;0.0486;3;W;Late Pleistocene;;Russia;;Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.;
Mammuthus primigenius;Chulym River;55.05;90;0.02014;0.01988;2;K;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Chulym River;55.05;90;0.0203;0.0201;2;K;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Cleary Creek;65.17;-147.5;0.022019;0.022019;2;K;Late Pleistocene;;USA;Alaska;"Szpak, Paul; Gröcke, Darren R.; Debruyne, Regis; MacPhee, Ross D.E.; Guthrie, R. Dale; Froese, Duane et al. (2010): Regional differences in bone collagen ?13C and ?15N of Pleistocene mammoths: Implications for paleoecology of the mammoth steppe. In: Palaeogeography, Palaeoclimatology, Palaeoecology 286 (1-2), S. 88–96. DOI: 10.1016/j.palaeo.2009.12.009.";calibr. Median
Mammuthus primigenius;Cleary Creek;65.17;-147.5;0.046455;0.046455;3;W;Late Pleistocene;;USA;Alaska;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1";calibr. Median
Mammuthus primigenius;Clot de Liop, Olot;42.316667;-2.916667;1.9;0.0117;;NA;;;Spain;Girona;Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.;
Mammuthus primigenius;Clyde Barge Canal Mammoth;43.061511;-76.838182;0.01375;0.0134;1;W;Late Pleistocene;;USA;New York;"Feranec, Robert S.; Kozlowski, Andrew L. (2012): New AMS Radiocarbon Dates from Late Pleistocene Mastodons and Mammoths in New York State, USA. In: Radiocarbon 54 (2), S. 275–279. DOI: 10.2458/azu_js_rc.v54i2.16009.";
Mammuthus primigenius;Colorado Creek;63.641667;-156.019722;0.0154;0.01516;2;K;;;;;;
Mammuthus primigenius;Condover;52.651473;-2.753746;0.01474;0.0141;2;K;Late Pleistocene;;UK;England;Lister, Adrian M. (2009): Late-glacial mammoth skeletons (Mammuthusprimigenius ) from Condover (Shropshire, UK): anatomy, pathology, taphonomy and chronological significance. In: Geol. J. 44 (4), S. 447–479. DOI: 10.1002/gj.1162.;
Mammuthus primigenius;Condover;52.651473;-2.753746;0.01245;0.01221;1;W;Late Pleistocene;;UK;England;"Stuart, Anthony J.; Sulerzhitsky, Leopold D.; Orlova, Lyobov A.; Kuzmin, Yaroslav V.; Lister, Adrian M. (2002): The latest woolly mammoths (Mammuthus primigenius Blumenbach) in Europe and Asia: a review of the current evidence. In: Quaternary Science Reviews 21 (14-15), S. 1559–1569. DOI: 10.1016/S0277-3791(02)00026-4.";
Mammuthus primigenius;Cos?u?i;48.223941;28.28004;0.023;0.016;2;K;Late Pleistocene;;Moldova;;"SOMMER, R. S.; Nadachowski, A. (2006): Glacial refugia of mammals in Europe: evidence from fossil records. In: Mammal Review 36 (4), S. 251–265. DOI: 10.1111/j.1365-2907.2006.00093.x.";
Mammuthus primigenius;Crappie Hole;41.2;-101.75;0.027713;0.027713;2;K;Late Pleistocene;;USA;Nebraska;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Crappie Hole;41.2;-101.75;0.027778;0.027778;2;K;Late Pleistocene;;USA;Nebraska;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Crappie Hole;41.2;-101.75;0.027863;0.027863;2;K;Late Pleistocene;;USA;Nebraska;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Cripple Creek, Eastern Beringia;64.6;-148;0.030889;0.030889;3;W;Late Pleistocene;;USA;Alaska;"Szpak, Paul; Gröcke, Darren R.; Debruyne, Regis; MacPhee, Ross D.E.; Guthrie, R. Dale; Froese, Duane et al. (2010): Regional differences in bone collagen ?13C and ?15N of Pleistocene mammoths: Implications for paleoecology of the mammoth steppe. In: Palaeogeography, Palaeoclimatology, Palaeoecology 286 (1-2), S. 88–96. DOI: 10.1016/j.palaeo.2009.12.009.";
Mammuthus primigenius;Cruz Quebrada, Oeiras;38.697838;-9.255015;1.9;0.0117;;NA;;;Portugal;Estremadura;Álvarez-Lao, Diego J. (2014): The Jou Puerta cave (Asturias, NW Spain): A MIS 3 large mammal assemblage with mixture of cold and temperate elements. In: Palaeogeography, Palaeoclimatology, Palaeoecology 393, S. 1–19. DOI: 10.1016/j.palaeo.2013.10.011.;
Mammuthus primigenius;Csajág;47.018056;18.17111;0.01663;0.0158;2;K;Late Pleistocene;;Hungary;;"Katona, Lajos; Kovács, János; Kordos, László; Szappanos, Bálint; Linkai, Isván (2012): The Csajág mammoths (Mammuthus primigenius): Late Pleniglacial finds from Hungary and their chronological significance. In: Quaternary International 255, S. 130–138. DOI: 10.1016/j.quaint.2011.01.048.";
Mammuthus primigenius;Cueto de la Mina;42.077621;-4.4828;0.0235;0.0192;2;K;Late Pleistocene;;Spain;Asturias;J. Stuart, L. D. Sulerzhitsky, and L. A. Orlova, Y. V. Kuzmin, A. M. Lister. 2002. The latest woolly mammoths (Mammuthus primigenius Blumenbach) in Europe and Asia: a review of the current evidence. Quaternary Science Reviews 21:1559-1569;
Mammuthus primigenius;Cueva de Altamira;43.377702;-4.122841;0.023;0.016;2;K;Late Pleistocene;;Spain;;"SOMMER, R. S.; Nadachowski, A. (2006): Glacial refugia of mammals in Europe: evidence from fossil records. In: Mammal Review 36 (4), S. 251–265. DOI: 10.1111/j.1365-2907.2006.00093.x.";
Mammuthus primigenius;Cueva de La Güelga, Cangas de Onís;43.346016;-5.127781;0.033;0.03;3;W;Late Pleistocene;;Spain;Asturias;"Álvarez-Lao, Diego J.; García, Nuria (2012): Comparative revision of the Iberian woolly mammoth (Mammuthus primigenius) record into a European context. In: Quaternary Science Reviews 32, S. 64–74. DOI: 10.1016/j.quascirev.2011.11.004.";
Mammuthus primigenius;D?bica;50.026251;21.415361;0.0256;0.025;2;K;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Wojtal, Piotr; Mi?kina, Barbara (2011): Radiocarbon chronology of woolly mammoth (Mammuthus primigenius) from Poland. In: Quaternary International 245 (2), S. 186–192. DOI: 10.1016/j.quaint.2011.03.011.";
Mammuthus primigenius;Dakangijatun, Yushu, Jilin;44.87881;126.637857;0.0481;0.039595;3;W;Late Pleistocene;;China;;"Keliang, Z.; Haitao, J.; Yuan, W.; Haowen, T.; Yaping, Z.; Junyi, G. et al. (2022): New radiocarbon evidence on the woolly mammoth and rhinoceros in China. In: Acta Anthropologica Sinica (41), S. 551–562.";
Mammuthus primigenius;Dawson Area;64.05;-139.42;0.042815;0.042815;3;W;Late Pleistocene;;Canada;Yukon;"Debruyne, Regis; Chu, Genevieve; King, Christine E.; Bos, Kirsti; Kuch, Melanie; Schwarz, Carsten et al. (2008): Out of America: ancient DNA evidence for a new world origin of late quaternary woolly mammoths. In: Current Biology 18 (17), S. 1320–1326. DOI: 10.1016/j.cub.2008.07.061.";
Mammuthus primigenius;Dawson Area;64.05;-139.42;0.043496;0.043496;3;W;Late Pleistocene;;Canada;Yukon;"Debruyne, Regis; Chu, Genevieve; King, Christine E.; Bos, Kirsti; Kuch, Melanie; Schwarz, Carsten et al. (2008): Out of America: ancient DNA evidence for a new world origin of late quaternary woolly mammoths. In: Current Biology 18 (17), S. 1320–1326. DOI: 10.1016/j.cub.2008.07.061.";
Mammuthus primigenius;De Zandmotor;52.053621;4.189201;0.126;0.012;05. Jan;NA;Late Pleistocene;;Netherlands;;"Mol, Dick; Bijkerk, André; Ballard, Joanne (2018): Deciduous Tusks and Small Permanent Tusks of the Woolly Mammoth, Mammuthus primigenius (Blumenbach, 1799) Found on Beaches in The Netherlands. In: Quaternary 1 (1), S. 7. DOI: 10.3390/quat1010007.";
Mammuthus primigenius;Dent;40.3;-104.8;0.012827;0.012827;1;W;Late Pleistocene;;USA;Colorado;"Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";calibr. Median
Mammuthus primigenius;Deszczowa Cave;50.585403;19.533147;0.023;0.016;2;K;Late Pleistocene;;Poland;;"SOMMER, R. S.; Nadachowski, A. (2006): Glacial refugia of mammals in Europe: evidence from fossil records. In: Mammal Review 36 (4), S. 251–265. DOI: 10.1111/j.1365-2907.2006.00093.x.";
Mammuthus primigenius;Deszczowa Cave;50.585403;19.533147;0.03803;0.03595;3;W;Late Pleistocene;;Poland;;"Nadachowski, Adam; Lipecki, Grzegorz; Wojtal, Piotr; Mi?kina, Barbara (2011): Radiocarbon chronology of woolly mammoth (Mammuthus primigenius) from Poland. In: Quaternary International 245 (2), S. 186–192. DOI: 10.1016/j.quaint.2011.03.011.";
Mammuthus primigenius;Dixon Mammoth;41.75;-89.5;0.11;0.0115;05. Jan;NA;;;;;;
Mammuthus primigenius;Djurslöv, Mölleberga, Skåne;55.625948;13.163949;0.02635;0.02595;2;K;Late Pleistocene;;Sweden;;"Ukkonen, P.; Arppe, L.; Houmark-Nielsen, M.; Kjær, K. H.; Karhu, J. A. (2007): MIS 3 mammoth remains from Sweden—implications for faunal history, palaeoclimate and glaciation chronology. In: Quaternary Science Reviews 26 (25-28), S. 3081–3098. DOI: 10.1016/j.quascirev.2007.06.021.";
Mammuthus primigenius;Dobranichevka;50.042188;31.893727;0.0129;0.0125;1;W;Late Pleistocene;;Ukraine;;"Stuart, Anthony J.; Sulerzhitsky, Leopold D.; Orlova, Lyobov A.; Kuzmin, Yaroslav V.; Lister, Adrian M. (2002): The latest woolly mammoths (Mammuthus primigenius Blumenbach) in Europe and Asia: a review of the current evidence. In: Quaternary Science Reviews 21 (14-15), S. 1559–1569. DOI: 10.1016/S0277-3791(02)00026-4.";
Mammuthus primigenius;Dogger Bank;55;3;0.126;0.01;;NA;Late Pleistocene;Holocene;;;Davies, William (1878): On a Collection of Pleistocene Mammals Dredged off the Eastern Coast. In: Geol. Mag. 5 (3), S. 97–100. DOI: 10.1017/S0016756800146448.;
Mammuthus primigenius;Doline of Boncourt-Grand Combe;47.479436;6.996182;0.067;0.089;05. Apr;NA;Lates Early Glacial;;Switzerland;;"Scherler, Laureline; Tütken, Thomas; Becker, Damien (2014): Carbon and oxygen stable isotope compositions of late Pleistocene mammal teeth from dolines of Ajoie (Northwestern Switzerland). In: Quat. res. 82 (2), S. 378–387. DOI: 10.1016/j.yqres.2014.05.004.";
Mammuthus primigenius;Dolines of Courtedoux-Vâ Tche Tchâ;47.413825;7.042178;0.051;0.027;03. Feb;NA;Late Pleistocene;;Switzerland;;"Scherler, Laureline; Tütken, Thomas; Becker, Damien (2014): Carbon and oxygen stable isotope compositions of late Pleistocene mammal teeth from dolines of Ajoie (Northwestern Switzerland). In: Quat. res. 82 (2), S. 378–387. DOI: 10.1016/j.yqres.2014.05.004.";
