SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;COUNTRY;SP_SYNONYM;SP_SYNONYM_COMMENT;EARLY_INTERVALL;LATE_INTERVALL;REFERENCE
Palaeoloxodon recki;FLKII Main-Bd II;-2.9861;35.344398;1.806;0.781;65-19;NA;;;;Calabrian;;J. Kappelman. 1984. Plio-Pleistocene environments of Bed I and Lower Bed II, Olduvai Gorge,Tanzania. Palaeogeography, Palaeoclimatology, Palaeoecology 48(2-4):171-196
Palaeoloxodon recki;FLKI Main-Bd I;-2.9861;35.344398;1.806;0.781;65-19;NA;;;;Calabrian;;J. M. Harris and T.D. White. 1979. Evolution of the Plio-Pleistocene African Suidae. Transactions of the American Philosophical Society 69:1-128
Palaeoloxodon recki;East Turkana - Omo - L.32;5.0825;36.025299;2.588;1.806;103-65;NA;;;;Gelasian;;J. M. Harris. 1991. Koobi Fora Research Project, Vol III, The Fossil Ungulates: Geology, Fossil Artiodactyls and Paleoenvironments. Oxford University Press, New York
Palaeoloxodon recki;Middle Awash - Matabaietu fm.;10.55;40.583302;2.5;2;99-79;NA;;;;Pleistocene;Pleistocene;"Kalb, J. E.; Mebrate, A.; Tischler, D. (Hg.) (1993): Fossil Elephantoids: From the hominid-bearing Awash Group, Middle Awash Valley, Afar Depression, Ethiopia.: Transactions of the American Philosophical Society."
Palaeoloxodon recki;Middle Awash (Bodo/UBSU);10.625;40.541698;0.781;0.0117;19-1;NA;;;;Middle Pleistocene;Late Pleistocene;"Kalb, J. E.; Mebrate, A.; Tischler, D. (Hg.) (1993): Fossil Elephantoids: From the hominid-bearing Awash Group, Middle Awash Valley, Afar Depression, Ethiopia.: Transactions of the American Philosophical Society."
Palaeoloxodon recki;Omo - member G;5.088;36.029999;2.588;1.806;103-65;NA;;;;Gelasian;;L. Bobe and M. Mabela. 1997. Incidence of four gastrointestinal parasite worms in group of cricetomas,Lukaya-Democratic Republic of Congo. Tropicultura 15(3):132-135
Palaeoloxodon recki;Omo - member H;5.046;36.004002;5.333;0.781;TG6-19;NA;;;;Pliocene;Calabrian;L. Bobe and M. Mabela. 1997. Incidence of four gastrointestinal parasite worms in group of cricetomas,Lukaya-Democratic Republic of Congo. Tropicultura 15(3):132-135
Palaeoloxodon recki;Anabo Koma;11.0578;42.2775;1.9;1.3;72-45;NA;;;;Pleistocene;;L. de Bonis, D. Geraads, and J. Jaeger, S. Sen. 1988. Vertebres du Pleistocene de Djibouti. Bulletin Society Geol. France IV(2):323-334
Palaeoloxodon recki;Har Ide I;11.0578;42.2775;0.9;0.3;22-11;NA;;;;Pleistocene;;L. de Bonis, D. Geraads, and J. Jaeger, S. Sen. 1988. Vertebres du Pleistocene de Djibouti. Bulletin Society Geol. France IV(2):323-334
Palaeoloxodon recki;Olduvai FLK North Upper Bed I Level 6;-2.9903;35.362499;1.78;1.72;63-61;NA;;;;;;Leakey, M. D. (1971): Olduvai Gorge, Volume 3: Excavations in Beds I and II. Cambridge, UK: Cambridge University Press.
Palaeoloxodon recki;East Turkana - Area 1 - Okote;4.308;36.275002;1.806;0.781;65-19;NA;;;;Calabrian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 10 - KBS;4.3;36.325001;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 100 - Upper Burgi;3.95;36.283001;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 100 - Upper Burgi;3.95;36.283001;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 102 - KBS;3.9414;36.250301;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 102 - Upper Burgi;3.942;36.25;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 103 - Okote;3.9;36.242001;1.806;0.781;65-19;NA;;;;Calabrian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 104 - KBS;3.975;36.317001;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 104 - KBS;3.975;36.317001;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 104 - KBS;3.975;36.317001;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 105 - Upper Burgi;4.067;36.372002;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 11 - KBS;4.292;36.292;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 116 - Lokochot/Tulu Bor;4.058;36.333;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 117 - Lokochot/Tulu Bor;4.092;36.307999;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 117 - Tulu Bor/Lower Burgi;4.092;36.307999;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 118 - Upper Burgi;4.1;36.391998;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 12 - KBS;4.275;36.307999;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 129 - Upper Burgi;4.226;36.432999;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 130 - Upper Burgi;4.183;36.417;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 131 - Upper Burgi;4.15;36.400002;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 14 - Upper Burgi;4.283;36.375;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 15 - Upper Burgi;4.242;36.370998;2.588;1.806;103-65;NA;;;;Gelasian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 1A - KBS;4.317;36.271;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 204 - Tulu Bor;3.75;36.358002;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 3 - Okote;4.309;36.266998;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 6 - KBS;4.275;36.242001;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 6A - KBS;4.287;36.233002;3.6;0.781;Gi1-19;NA;;;;Late Pliocene;Calabrian;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 8 - KBS;4.267;36.292;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;East Turkana - Area 8A - KBS;4.2583;36.283298;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;M. Beden. 1983. Family Elephantidae. Koobi Fora Research Project: The Fossil Ungulates: Proboscidea, Perissodactyla, and Suidae 2:40-129
Palaeoloxodon recki;Omo - member B10;5.046;36.035;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;M. Beden. 1987. Les Faunes Plio-Pleistocenes de la Vallee de l'Omo (Ethiopie), Tome 2: Les Elephantides. Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;MNKII Skull St-MddleBdII;-2.9916;35.337502;1.806;0.781;65-19;NA;;;;Calabrian;;M. G. Leakey and R.E.F. Leakey. 1973. Further evidence of Simopithecus(Mammalia,Primates) from Olduvai and Olorgesailie. In:Foss.Vert.Afr. 3:102-120
Palaeoloxodon recki;Omo - L.127;5.0639;36.036098;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - L.157;5.0881;36.020599;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - L.338x;5.1244;36.022202;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - L.628;5.1517;36.0392;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - L.9;5.0939;36.022499;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - Lower Member G (1-13);5.0875;36.029701;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - member E1;5.119;36.041;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - member G1;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - member G5;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.151;5.0506;36.023602;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.162;5.0425;36.027802;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.28;5.06;36.032799;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.29;5.0467;36.0131;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.40;5.0431;36.020302;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.6;5.0667;36.0233;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.71;5.0508;36.019199;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.76;5.0361;36.014702;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Omo - O.78;5.0403;36.003101;2.588;1.806;103-65;NA;;;;Gelasian;;M. G. Leakey. 1982. Extinct large Colobines from the Plio-Pleistocene of Africa. American Journal of Physical Anthropology 58:153-172
Palaeoloxodon recki;Olduvai Bed II;-2.995627338;35.35245895;1.74;1.7;61;W;Tanzania;Elephas reckirecki;subspecies;;;Monahan, C. M. (1996): New zooarchaeological data from Bed II, Olduvai Gorge, Tanzania: implications for hominid behavior in the early Pleistocene. In: Journal of Human Evolution (31), S. 93–128.
Palaeoloxodon recki;DKI-general;-2.9806;35.3736;2.588;1.806;103-65;NA;;;;Gelasian;;N. E. Todd. 1996. Dissertation, personal communication. .
Palaeoloxodon recki;Malema - RC11;-10;33.916698;2.5;2.3;99-94;NA;;;;Pliocene;;O. Kullmar, O. Sandrock, and R. Abel, F. Schrenk, T. Bromage, Y. Juwayeyi. 1999. The first Paranthropus from the Malawi Rift. Journal of Human Evolution 37:121-127
Palaeoloxodon recki;DKI-Level 1;-2.9806;35.3736;2.588;1.806;103-65;NA;;;;Gelasian;;P. H. Greenwood and E. J. Todd. 1970. Fish remains from Olduvai. Fossil Vertebrates of Africa 2:225-241
Palaeoloxodon recki;SHKII general;-2.9916;35.327801;1.806;0.781;65-19;NA;;;;Calabrian;;P. H. Greenwood and E. J. Todd. 1970. Fish remains from Olduvai. Fossil Vertebrates of Africa 2:225-241
Palaeoloxodon recki;Senga 13B - Lusso Beds;0.05;29.549999;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;P. P. Pavlakis. 1990. Plio-Pleistocene Hippopotamidae from the Upper Semliki. Virgia Museum of Natural History Memior 1:203-223
Palaeoloxodon recki;Senga 5A;0.0333;29.616699;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;P. P. Pavlakis. 1990. Plio-Pleistocene Hippopotamidae from the Upper Semliki. Virgia Museum of Natural History Memior 1:203-223
Palaeoloxodon recki;DKI-Level 2;-2.9806;35.3736;2.588;1.806;103-65;NA;;;;Gelasian;;P. Shipman. 1986. Paleoecology of Fort Ternan Reconsidered. Journal of Human Evolution 15(3):193-204
Palaeoloxodon recki;NY 11 - Nyabusosi fm.;1;30.5;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;P. Tassy. 1994. Fossil proboscideans,Mammalia, from the Western Rift,Uganda. In:Geol. and palaeo. of the Albertine rift valley II:217-257
Palaeoloxodon recki;Shishan Marsh 1 (SM1);31.832167;36.818833;0.3;0.1;8-5d;NA;;;;;;"Pokines, J.; Lister, A. M.; Ames, C.J.H.; Nowell, A.; Cordova, C. E. (2018): Faunal remains from recent excavations at Shishan Marsh 1 (SM1), a Late Lower Pleistocene open-air site in the Azraq Basin, Jordan. In: Quaternary Research (91), S. 768–791."
Palaeoloxodon recki;Kathu Pan;-27.6639;23.008301;1.806;0.781;65-19;NA;;;;Calabrian;;R. G. Klein. 1979. Paleoenvironmental and Cultural Implications of Late Holocene Archaeological Faunas from the Orange Free State and North Central Cape Province, South Africa. South African Archaeological Bulletin 34:34-49
Palaeoloxodon recki;Power's Site;-28.5333;24.4667;1.806;0.781;65-19;NA;;;;Calabrian;;R. G. Klein. 1979. Paleoenvironmental and Cultural Implications of Late Holocene Archaeological Faunas from the Orange Free State and North Central Cape Province, South Africa. South African Archaeological Bulletin 34:34-49
Palaeoloxodon recki;MNKII MainSt-Mddle BdII;-2.9916;35.337502;1.806;0.781;65-19;NA;;;;Calabrian;;R. L. Hay. 1990. Olduvai Gorge
Palaeoloxodon recki;Omo - member C9;5.058;36.035999;2.588;1.806;103-65;NA;;;;Gelasian;;S. C. Coryndon and Y. Coppens. 1973. Preliminary report on Hippopotamidae (Mammalia, Artiodactyla) from the Plio-Pleistocene of the Lower Omo Basin, Ethiopia. Fossil Vertebrates of Africa 3:139-157
Palaeoloxodon recki;Omo - member F;5.058;36.025002;2.588;1.806;103-65;NA;;;;Gelasian;;S. C. Coryndon and Y. Coppens. 1973. Preliminary report on Hippopotamidae (Mammalia, Artiodactyla) from the Plio-Pleistocene of the Lower Omo Basin, Ethiopia. Fossil Vertebrates of Africa 3:139-157
Palaeoloxodon recki;Woranso-Mille, Ethiopia;11.33383;40.491808;3.8;3.6;Gi11-Gi5;NA;;Elephas recki brumpti;;Pliocene;;"Sanders, W.; Haile-Selassie, Y. (2012): A new assemblage of Mid-Pleistocene Proboscideans from the Woranso-Mille Area, Afar region, Ethiopia: taxonomic, evolutionary, and paleoecolical considerations. In: Journal of Mammal Evolution (19), S. 105–128."
Palaeoloxodon recki;Ti's al Ghadah Unit 5;27.414166;39.401269;0.5;0.3;13-11;NA;;;;Pleistocene;;"Stimpson, C. M.; Lister, A.; Parton, A.; Clark-Balzan, L.; Breeze, P. S.; Drake, N. A. et al. (2016): Middle Pleistocene vertebrate fossils from the Nefud Desert, Saudi Arabia. In: Quaternary Science Reviews (143), S. 13–36.       Stewart, M.; Louys, J.; Groucutt, H. S.; Candy, I.; Clark-Wilson, R.; Breeze, P. S. et al. (2019): Taphonomic and zooarchaeological investigations at the middle Pleistocene site of Ti's al Gadah, western Nefud Desert, Saudi Arabia. In: Quaternary Science Reviews (218), S. 228–253."
Palaeoloxodon recki;Sterkfontein - Member 4;-26.016701;27.733299;2.5;0.781;99-19;NA;;;;Pliocene;Calabrian;T. C. Partridge. 1978. Re-appraisal of lithostratigraphy of Sterkfontein hominid site. Nature 275:282-287
Palaeoloxodon recki;Omo - member B2;5.046;36.035;3.6;2.588;Gi1-103;NA;;;;Piacenzian;;Y. Coppens and F. C. Howell. 1985. Les Faunes Plio-Pleistocenes de las Basse Vallee de l'Omo (Ethiopie), Tome 1: Perissodactyls, Artiodactyls (Bovidae). Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;Omo - member D3;5.094;36.021999;2.588;1.806;103-65;NA;;;;Gelasian;;Y. Coppens and F. C. Howell. 1985. Les Faunes Plio-Pleistocenes de las Basse Vallee de l'Omo (Ethiopie), Tome 1: Perissodactyls, Artiodactyls (Bovidae). Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;Omo - member E;5.119;36.041;2.588;1.806;103-65;NA;;;;Gelasian;;Y. Coppens and F. C. Howell. 1985. Les Faunes Plio-Pleistocenes de las Basse Vallee de l'Omo (Ethiopie), Tome 1: Perissodactyls, Artiodactyls (Bovidae). Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;Omo - member E5;5.119;36.022999;2.588;1.806;103-65;NA;;;;Gelasian;;Y. Coppens and F. C. Howell. 1985. Les Faunes Plio-Pleistocenes de las Basse Vallee de l'Omo (Ethiopie), Tome 1: Perissodactyls, Artiodactyls (Bovidae). Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;Omo - member G3;5.088;36.063;2.588;1.806;103-65;NA;;;;Gelasian;;Y. Coppens and F. C. Howell. 1985. Les Faunes Plio-Pleistocenes de las Basse Vallee de l'Omo (Ethiopie), Tome 1: Perissodactyls, Artiodactyls (Bovidae). Cahiers de Paleontologie, Editions du CNRS, Paris
Palaeoloxodon recki;Omo - member C;5.058;36.035999;2.588;1.806;103-65;NA;;;;Gelasian;;Y. Coppens and F. C. Howell. 1987. Les Faunes Plio-Pleistocenes de la Basse Vallee de L'Omo (Ethiopie) Tome 3: Cercopithecidae de la Formation de Shungura. Cahiers de Paleontologie. Editions du CNRS. Paris.
Palaeoloxodon recki;Bura Hasuma;3.8;36.27;1.9;1.55;72-53;NA;Kenya;Elephas reckiileretensis;subspecies;;;
Palaeoloxodon recki;Daka;10.28181568;40.53422928;1.042;0.781;30-19;NA;Ethiopia;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;East Turkana - Area 123 - KBS;3.867;36.367001;1.806;0.781;65-19;NA;;;;Calabrian;;
Palaeoloxodon recki;FC II West General;-2.989;35.334702;1.806;0.781;65-19;NA;;;;Calabrian;;
Palaeoloxodon recki;HRD;11;42.833;1.9;0.0117;72-1;NA;Djibouti;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;Ileret 2;4.294445;36.31339;1.87;1.53;70-52;NA;Kenya;Elephas reckiileretensis;subspecies;;;
Palaeoloxodon recki;Ileret 3;4.26903;36.27763;1.53;1.38;52-45;NA;Kenya;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;Kanjera 1;0.383333333;35;1.072;0.781;31-19;NA;Kenya;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;Karonga - Unit 3A;-9.833;34.833302;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;
Palaeoloxodon recki;Koobi Fora Ridge 3;3.906709;36.23027;1.86;1.53;70-52;NA;Kenya;Elephas reckiileretensis;subspecies;;;
Palaeoloxodon recki;Koobi Fora Ridge 4;3.906715;36.23045;1.53;1.38;52-45;NA;Kenya;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;Nachukui 1: 2 and 3;4.096176;35.84319;1.33;0.74;42-18;NA;Kenya;Elephas reckirecki;subspecies;Pleistocene;;
Palaeoloxodon recki;Uraha - Unit 3A;-10.333;34.166698;5.333;0.0117;TG6-1;NA;;;;Pliocene;Pleistocene;
Palaeoloxodon recki;West Turkana - Kangatukuseo II;3.867;35.756001;2.588;1.806;103-65;NA;Kenya;;;Gelasian;;
Palaeoloxodon recki;West Turkana 9;4.333;35.867;1.9;0.0117;72-1;NA;Kenya;Elephas reckirecki;subspecies;;;
Palaeoloxodon recki;Nadung'a 4;4.1964;35.7586;0.70;0.70;17;W;Kenya;;;Calabrian;;"Delagnes, A.; Lenoble, A.; Harmand, S.; Brugal, J. P.; Prat, S.; Tiercelin, J. J.; Roche, H. (2006): Interpreting pachyderm single carcass sites in the African Lower and Early Middle Pleistocene record: A multidisciplinary approach to the site of Nadung'a 4 (Kenya). In: Journal of Anthropological Archaeology (25), S. 448–465."
Palaeoloxodon recki;Wadi Bakht;23;25.5;0.0117;0;1;W;;;;Holocene;;
Palaeoloxodon recki;West Turkana - Kalakodo - Kalochoro mbr.;4.1;35.766998;2.4;2.3;94;K;Kenya;;;;;"Harris, J. M.; Brown, F. H.; Leakey, M. G. (Hg.) (1988): Stratigraphy and paleontology of Pliocene and Plistocene localities west of Lake Turkana, Kenya. Natural History Museum of Los Angeles County: Contributions in Science (399)."
Palaeoloxodon recki;West Turkana - Lomekwi VIII - Lokalalei mbr.;3.933;35.757999;2.57;2.47;102-98;NA;Kenya;;;;;"Harris, J. M.; Brown, F. H.; Leakey, M. G. (Hg.) (1988): Stratigraphy and paleontology of Pliocene and Plistocene localities west of Lake Turkana, Kenya. Natural History Museum of Los Angeles County: Contributions in Science (399)."
Palaeoloxodon recki;West Turkana - Nachukui I - Nariokotome mbr.;4.208;35.783001;1.38;1.28;44-40;NA;Kenya;;;;;"Harris, J. M.; Brown, F. H.; Leakey, M. G. (Hg.) (1988): Stratigraphy and paleontology of Pliocene and Plistocene localities west of Lake Turkana, Kenya. Natural History Museum of Los Angeles County: Contributions in Science (399)."
Palaeoloxodon recki;West Turkana - Naiyena Engol II - Kaitio mbr.;4.088;35.7825;1.9;1.86;72-70;NA;Kenya;;;;;"Harris, J. M.; Brown, F. H.; Leakey, M. G. (Hg.) (1988): Stratigraphy and paleontology of Pliocene and Plistocene localities west of Lake Turkana, Kenya. Natural History Museum of Los Angeles County: Contributions in Science (399)."
Palaeoloxodon recki;Olduvai HWK EE;-2.9903;35.362499;1.7;1.5;60-55;NA;Tanzania;;;;;"Pante, M. C.; La Torre, I. de (2018): A hidden treasure of the Lower Pleistocene at Olduvai Gorge, Tanzania: The Leakey HWK EE assemblage. In: Jounal of Human Evolution (120), S. 114–139.       Pante, M. C.; Njau, J. K.; Hensley-Marschand, B.; Keevil, T. L.; Martín-Ramos, C.; Franco Peters, R.; La Torre, I. de (2018): The carnivorous feeding behavior of early Homo at HWK EE, Bed II, Olduvai Gorge, Tanzania. In: Jounal of Human Evolution (120), S. 215–235."
